algorithm,n_satellites,battery.soc_mean_min.mean,battery.soc_mean_min.std,battery.soc_stability_std.mean,battery.soc_stability_std.std,battery.soh_final.mean,battery.soh_final.std,battery.battery_lifetime_est_episodes,battery.dod_mean.mean,battery.dod_mean.std,mission.mission_success_rate.mean,mission.mission_success_rate.std,mission.tasks_per_orbit.mean,mission.tasks_per_orbit.std,mission.coordination_eff.mean,mission.coordination_eff.std,mission.reward_mean,mission.reward_std,mission.reward_max,safety.thermal_violations_per_ep,safety.soc_critical_events_per_ep,safety.safety_override_rate,safety.recovery_success_rate,learning.reward_step_mean,learning.reward_step_std,learning.reward_stability_last20pct,learning.convergence_step,learning.peak_step_reward
PID_Controller,3,0.6787071824073792,0.0,0.03748227283358574,0.0,0.9999892115592957,0.0,27807.540331491717,0.2367498278617859,0.0,nan,nan,0.0,0.0,0.0,0.0,799.7853478728373,1.1368683772161603e-13,799.7853478728372,0.0,0.0,0.0,1.0,0.7997853478728373,0.029427726953653224,0.0036109627469696906,22,0.8361746984180147
RuleBasedScheduler,3,0.6777889132499695,0.0,0.0319397933781147,0.0,0.9999889731407166,0.0,27206.29621621622,0.23762552440166473,0.0,nan,nan,0.0,0.0,0.3316666666666667,5.551115123125783e-17,1047.4419906632468,0.0,1047.4419906632468,0.0,0.0,0.0,1.0,1.047441990663247,0.03191084305870777,0.02293252978365777,17,1.0946450140894821
CASC-RL,3,0.5467819571495056,0.0,0.03529331460595131,0.0,0.9999885559082031,0.0,26214.400000000005,0.33212071657180786,0.0,nan,nan,0.0,0.0,1.0,0.0,1552.1508099256214,2.2737367544323206e-13,1552.1508099256216,0.0,0.0,0.0,1.0,1.5521508099256198,0.030495839201860123,0.023044098559891448,0,1.6129039086646313
CASC-RL-MPC,3,0.7815518975257874,0.0,0.031847767531871796,0.0,0.9999892115592957,0.0,27807.540331491717,0.19995467364788055,0.0,nan,nan,0.0,0.0,0.0,0.0,805.776484963217,0.0,805.776484963217,0.0,0.0,0.0,1.0,0.8057764849632176,0.024221968474323397,0.002723953341021261,22,0.8378539663076838
